duns,ofo_status,ofo_expiry,ofo_issue,certify_status,certify_expiry,certify_issue,status_match,issue_match,expiry_match
179270991,graduated,11/4/2018,11/4/2009,,,,,,
179850297,graduated,9/30/2018,9/30/2009,,,,,,
179887802,active,1/21/2025,1/21/2016,,,,,,
181415022,graduated,10/13/2018,10/13/2009,,,,,,
182771139,active,12/14/2020,12/14/2011,,,,,,
182937172,graduated,10/22/2018,10/22/2009,,,,,,
184021413,graduated,11/14/2018,11/14/2009,,,,,,
184060445,graduated,5/29/2018,5/29/2009,,,,,,
184456155,terminated,11/29/2017,2/5/2009,,,,,,
184675986,active,11/22/2019,11/22/2010,,,,,,
184766587,graduated,3/25/2018,3/24/2009,,,,,,
185305658,graduated,9/25/2018,9/25/2009,,,,,,
186720210,graduated,8/21/2018,8/21/2009,,,,,,
186903527,graduated,5/30/2018,5/29/2009,,,,,,
187648274,graduated,10/29/2018,10/29/2009,,,,,,
189437366,graduated,7/28/2018,7/28/2009,,,,,,
189810745,active,10/3/2024,10/3/2015,,,,,,
190441332,active,5/14/2019,5/14/2010,,,,,,
193800344,graduated,2/26/2018,2/25/2009,,,,,,
